TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,WG87321-104  (DUP L40006-44),NA,NA,NA,NA,20231108,0119,DUP,NFDHA,NA,N,U H,ng/g,1.62,0.184,WG87321,NA,39187-41-2,NA,NA,3-Nov-21,128-1 (Duplicate),NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFBA,0.98,Y,J,ng/g,1.52,0.462,WG87321,NA,45048-62-2,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFPeA,NA,N,U,ng/g,0.762,0.19,WG87321,NA,45167-47-3,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFHxA,NA,N,U,ng/g,0.381,0.123,WG87321,NA,92612-52-7,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFHpA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,120885-29-2,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFOA,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,45285-51-6,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFNA,0.381,Y,J,ng/g,0.381,0.0952,WG87321,NA,72007-68-2,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFDA,0.259,Y,J,ng/g,0.381,0.0952,WG87321,NA,73829-36-4,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFUnA,0.275,Y,B J,ng/g,0.381,0.0952,WG87321,NA,196859-54-8,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFDoA,0.153,Y,J,ng/g,0.381,0.0762,WG87321,NA,171978-95-3,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFTrDA,0.252,Y,J,ng/g,0.381,0.0952,WG87321,NA,862374-87-6,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFTeDA,0.164,Y,J,ng/g,0.381,0.0952,WG87321,NA,365971-87-5,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFBS,NA,N,U,ng/g,0.381,0.0952,WG87321,NA,45187-15-3,NA,NA,17-Oct-21,131-1,NA
NA,L40006-45,NA,NA,NA,NA,20231108,0314,Sample,PFPeS,NA,N,U,ng/g,0.381,0.0957,WG87321,NA,175905-36-9,NA,NA,17-Oct-21,131-1,NA
